Date,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
2022-10-24,160295.01,361927.7,122365.9,122365.9,3077.7,3429.36
2022-10-25,160677.08,434420.79,125302.69,125302.69,3036.19,3171.69
2022-10-26,183472.19,380935.12,141168.35,141168.35,2982.37,3015.83
2022-10-27,196839.38,341319.71,131933.37,131933.37,3661.53,3807.87
2022-10-28,239117.38,311880.92,155317.38,155317.38,4109.47,4283.06
2022-10-29,237912.23,324350.12,155270.03,155270.03,4046.54,4246.44
2022-10-30,215837.36,331854.43,146217.86,146217.86,3590.87,3724.27
2022-10-31,274635.57,303167.83,166276.56,166276.56,4480.1,4651.35
2022-11-01,247638.5,325120.65,164091.72,164091.72,4097.5,4249.63
2022-11-02,248062.54,306189,153336.62,153336.62,4243.67,4387.05
2022-11-03,263819.07,285667.45,159085.58,159023.58,4663.14,4909.34
2022-11-04,267117.66,275318.87,166300.62,166300.62,4817.89,5048.29
2022-11-05,290474.03,266494.72,173713.83,173713.83,5174.5,5357.06
2022-11-06,271311.56,286854.44,178181.22,178181.22,4380.49,4479.48
2022-11-07,287246.07,273079.98,183751.55,183751.55,5138.88,5285.89
2022-11-08,294416.54,300495.18,192408.94,192408.94,4653.94,4760
2022-11-09,290770.75,317240.28,180180.61,180180.61,4715.59,4881.83
2022-11-10,277304.33,314154.87,176065.35,176065.35,4685.94,4853.6
2022-11-11,251407.41,311699.98,155296.59,155296.59,4309.34,4466.23
2022-11-12,265831.11,299817.1,168317.72,168317.72,4406.12,4507.67
2022-11-13,243363.8,325592.87,153766.4,153766.4,3849.54,3921.11
2022-11-14,269741.09,297230.87,173374.78,173374.78,4524.67,4689.87
2022-11-15,254175.86,290102.37,163286.42,163286.42,4304.21,4488.02
2022-11-16,276245.64,290747.54,180141.61,180141.61,4634.68,4782.33
2022-11-17,284147.44,284325.63,185488.65,185488.65,4799.23,4943.57
2022-11-18,273710.97,262868.36,164862.33,164862.33,4861.51,5076.27
2022-11-19,273605.28,278795.01,168731.74,168731.74,4860.5,5056.05
2022-11-20,259821.83,322242.12,160840.68,160840.68,4024.1,4093.35
2022-11-21,261456.1,286586.88,156759.7,156759.7,4765.64,5018
2022-11-22,292478.81,299059.94,170738.23,170738.23,4890.65,5153.88
2022-11-23,267291.7,286803.67,161137.18,161137.18,4682.08,5017.89
2022-11-24,268958.1,269874.03,155737.85,155737.85,4871,5243.36
2022-11-25,272284.33,269357.39,158644.43,158644.43,4951.08,5293.05
2022-11-26,286716.99,296340.84,171357.02,171357.02,4953.52,5256.5
2022-11-27,240550.44,330962.37,159759.57,159759.57,4027.59,4121.43
2022-11-28,258953.15,322451.63,180718.73,180718.73,4419.54,4633.5
2022-11-29,270903.37,323490.31,183511.45,183511.45,4483.22,4698.37
2022-11-30,285963.46,315671.35,184322.69,184322.69,4750.39,4996.56
2022-12-01,247794.19,297046.55,167137.38,167137.38,4826.15,5127.33
2022-12-02,248680.37,312988.53,170348.3,170348.3,4726.99,4980.23
2022-12-03,294469.26,288329.74,180473.58,180473.58,5245.35,5505.29
2022-12-04,241119.33,315654.22,159131.6,159131.6,4155.47,4299.52
2022-12-05,252676.18,281988.77,158102.17,158102.17,5102.56,5555.13
2022-12-06,251377.15,296851.93,160206.63,160206.63,4766.95,5127.8
2022-12-07,277497.92,285443.71,165922.32,165922.32,5176.22,5576.53
2022-12-08,274780.73,287733.59,168509.62,168509.62,5068.01,5349.66
